log_id,pipeline_id,domaine,date_run,statut,duree_sec,volume_lignes_traitees
LOG_003564,PIPE_MAR_08,Marketing,2024-07-01 10:47:49,succès,1551.7,1690749
LOG_009492,PIPE_VEN_03,Ventes,2024-07-01 11:05:44,succès,1445.2,1447565
LOG_000411,PIPE_FIN_10,Finance,2024-07-01 11:31:31,échec,15.7,0
LOG_001708,PIPE_RH_06,RH,2024-07-01 13:21:25,succès,3062.9,760104
LOG_004858,PIPE_FIN_03,Finance,2024-07-01 13:37:03,succès,1929.8,1147042
LOG_008790,PIPE_RH_08,RH,2024-07-01 14:11:21,succès,3207.3,527416
LOG_001540,PIPE_FIN_02,Finance,2024-07-01 14:22:32,succès,2515.4,1520996
LOG_002665,PIPE_FIN_02,Finance,2024-07-01 14:45:56,succès,1114.0,1215688
LOG_002030,PIPE_VEN_04,Ventes,2024-07-01 14:54:08,succès,1769.0,1281915
LOG_002190,PIPE_RH_05,RH,2024-07-01 15:33:11,succès,1205.9,973223
LOG_006340,PIPE_FIN_10,Finance,2024-07-01 16:15:21,succès,246.7,980211
LOG_005904,PIPE_FIN_06,Finance,2024-07-01 16:16:32,échec,27.3,0
LOG_005026,PIPE_MAR_04,Marketing,2024-07-01 16:49:07,succès,2069.4,390035
LOG_009399,PIPE_FIN_04,Finance,2024-07-01 17:42:25,succès,2360.9,1394585
LOG_002492,PIPE_MAR_02,Marketing,2024-07-01 17:54:03,succès,2469.7,440961
LOG_001513,PIPE_RH_04,RH,2024-07-01 19:28:58,succès,1805.0,1521259
LOG_006838,PIPE_MAR_09,Marketing,2024-07-01 19:33:24,succès,3546.7,482451
LOG_005442,PIPE_VEN_02,Ventes,2024-07-01 20:04:19,échec,24.3,0
LOG_004771,PIPE_FIN_01,Finance,2024-07-01 20:19:55,succès,665.2,565848
LOG_007894,PIPE_FIN_04,Finance,2024-07-01 20:25:35,succès,2765.8,672534
LOG_008611,PIPE_VEN_01,Ventes,2024-07-01 21:45:29,succès,3280.8,243556
LOG_003780,PIPE_MAR_07,Marketing,2024-07-01 21:50:17,succès,901.5,371482
LOG_000574,PIPE_FIN_01,Finance,2024-07-01 21:57:59,succès,757.7,1622335
LOG_002418,PIPE_RH_05,RH,2024-07-01 22:05:03,avertissement,2376.2,1919507
LOG_006379,PIPE_FIN_08,Finance,2024-07-01 22:12:04,succès,1935.9,680653
LOG_004590,PIPE_FIN_09,Finance,2024-07-01 22:13:04,succès,989.7,952981
LOG_003855,PIPE_MAR_10,Marketing,2024-07-01 22:30:21,succès,1878.3,1610960
LOG_004333,PIPE_FIN_05,Finance,2024-07-01 23:00:50,succès,3053.7,423130
LOG_002138,PIPE_MAR_06,Marketing,2024-07-01 23:02:39,succès,1244.2,987440
LOG_005123,PIPE_VEN_09,Ventes,2024-07-01 23:20:21,succès,3076.3,1825601
LOG_001237,PIPE_MAR_01,Marketing,2024-07-02 00:59:02,succès,2232.7,634503
LOG_002077,PIPE_RH_02,RH,2024-07-02 02:06:33,succès,679.7,1455618
LOG_001635,PIPE_FIN_07,Finance,2024-07-02 03:04:39,succès,3134.5,416310
LOG_006017,PIPE_FIN_07,Finance,2024-07-02 03:25:46,succès,1460.8,574898
LOG_008630,PIPE_FIN_08,Finance,2024-07-02 04:12:32,succès,430.2,1466323
LOG_003404,PIPE_MAR_09,Marketing,2024-07-02 04:31:03,succès,1556.1,352942
LOG_009473,PIPE_VEN_02,Ventes,2024-07-02 04:45:34,avertissement,2702.3,277780
LOG_003508,PIPE_RH_04,RH,2024-07-02 05:25:13,succès,1138.3,1796880
LOG_002973,PIPE_VEN_01,Ventes,2024-07-02 06:21:15,succès,1852.5,1259214
LOG_002019,PIPE_MAR_04,Marketing,2024-07-02 07:03:41,succès,2961.5,775082
LOG_007174,PIPE_FIN_03,Finance,2024-07-02 07:07:52,succès,1957.9,404767
LOG_003056,PIPE_RH_08,RH,2024-07-02 07:20:52,succès,471.5,1771568
LOG_005920,PIPE_VEN_01,Ventes,2024-07-02 08:10:57,succès,2104.7,299101
LOG_001632,PIPE_FIN_08,Finance,2024-07-02 08:12:18,succès,2365.6,474256
LOG_005559,PIPE_VEN_09,Ventes,2024-07-02 08:35:24,succès,2136.9,247003
LOG_004383,PIPE_MAR_08,Marketing,2024-07-02 08:49:19,avertissement,1399.9,1594827
LOG_006065,PIPE_VEN_03,Ventes,2024-07-02 09:09:35,avertissement,1591.8,991665
LOG_009786,PIPE_VEN_04,Ventes,2024-07-02 10:39:15,succès,3538.3,510477
LOG_009761,PIPE_MAR_04,Marketing,2024-07-02 10:41:48,succès,677.6,601768
LOG_004605,PIPE_FIN_06,Finance,2024-07-02 11:22:17,succès,167.1,199790
LOG_001780,PIPE_FIN_07,Finance,2024-07-02 11:26:32,avertissement,2817.0,1064532
LOG_003231,PIPE_RH_08,RH,2024-07-02 11:47:01,succès,2140.9,1366032
LOG_009596,PIPE_MAR_03,Marketing,2024-07-02 12:01:27,avertissement,1760.3,812699
LOG_009519,PIPE_MAR_08,Marketing,2024-07-02 13:25:04,succès,1122.0,187052
LOG_001409,PIPE_FIN_06,Finance,2024-07-02 13:39:50,succès,2369.3,303348
LOG_007253,PIPE_MAR_08,Marketing,2024-07-02 15:08:28,succès,3445.2,1306404
LOG_004704,PIPE_VEN_01,Ventes,2024-07-02 16:10:21,succès,303.2,153576
LOG_005038,PIPE_RH_04,RH,2024-07-02 16:22:15,succès,1853.2,410293
LOG_004923,PIPE_RH_04,RH,2024-07-02 16:26:15,échec,73.7,0
LOG_003860,PIPE_MAR_07,Marketing,2024-07-02 17:30:24,succès,2640.3,629668
LOG_000807,PIPE_FIN_04,Finance,2024-07-02 17:36:58,avertissement,2094.0,1448710
LOG_004152,PIPE_FIN_04,Finance,2024-07-02 17:43:58,succès,3274.6,1195217
LOG_000328,PIPE_FIN_03,Finance,2024-07-02 18:36:08,succès,1644.4,126873
LOG_003242,PIPE_FIN_01,Finance,2024-07-02 18:40:13,succès,2432.6,336198
LOG_005365,PIPE_FIN_03,Finance,2024-07-02 19:08:45,échec,55.1,0
LOG_003580,PIPE_MAR_04,Marketing,2024-07-02 19:25:51,succès,488.3,841629
LOG_001535,PIPE_FIN_02,Finance,2024-07-02 20:18:13,succès,2707.7,15255
LOG_007799,PIPE_FIN_04,Finance,2024-07-02 21:20:19,succès,2633.1,1833430
LOG_006458,PIPE_VEN_10,Ventes,2024-07-02 21:44:52,avertissement,1210.0,63934
LOG_005908,PIPE_FIN_04,Finance,2024-07-02 23:06:42,succès,2578.1,69321
LOG_001799,PIPE_RH_05,RH,2024-07-02 23:15:25,avertissement,2376.5,1323850
LOG_003559,PIPE_RH_04,RH,2024-07-02 23:21:07,succès,1004.9,907825
LOG_007406,PIPE_RH_09,RH,2024-07-03 01:06:28,succès,2025.4,1345947
LOG_002598,PIPE_VEN_07,Ventes,2024-07-03 01:15:09,succès,1084.3,813265
LOG_007863,PIPE_RH_04,RH,2024-07-03 01:44:26,avertissement,2132.8,316864
LOG_004149,PIPE_RH_03,RH,2024-07-03 03:02:24,succès,1066.4,1388255
LOG_001726,PIPE_RH_10,RH,2024-07-03 03:09:23,succès,1116.3,1157080
LOG_000672,PIPE_VEN_06,Ventes,2024-07-03 03:57:49,succès,2000.5,258542
LOG_002624,PIPE_RH_07,RH,2024-07-03 04:09:57,succès,1839.2,25612
LOG_005802,PIPE_VEN_02,Ventes,2024-07-03 04:52:20,échec,68.0,0
LOG_000280,PIPE_MAR_10,Marketing,2024-07-03 05:17:39,succès,1297.6,495662
LOG_008476,PIPE_VEN_04,Ventes,2024-07-03 05:17:48,succès,275.5,810138
LOG_003887,PIPE_MAR_06,Marketing,2024-07-03 05:43:33,succès,1548.6,1575963
LOG_006022,PIPE_FIN_07,Finance,2024-07-03 05:50:58,succès,2922.5,1552416
LOG_005988,PIPE_RH_09,RH,2024-07-03 05:52:53,succès,3154.1,65461
LOG_003201,PIPE_RH_08,RH,2024-07-03 06:07:51,succès,1220.2,809464
LOG_000756,PIPE_FIN_01,Finance,2024-07-03 07:05:06,succès,1369.0,211383
LOG_000330,PIPE_MAR_07,Marketing,2024-07-03 07:13:46,succès,2601.3,1123624
LOG_002502,PIPE_VEN_08,Ventes,2024-07-03 07:55:08,avertissement,2429.8,667829
LOG_004255,PIPE_MAR_07,Marketing,2024-07-03 08:15:28,succès,2922.8,215160
LOG_005450,PIPE_MAR_08,Marketing,2024-07-03 08:28:10,échec,97.9,0
LOG_004217,PIPE_FIN_09,Finance,2024-07-03 10:00:35,succès,1161.5,1275337
LOG_009338,PIPE_FIN_08,Finance,2024-07-03 10:01:50,succès,3162.5,1598230
LOG_003801,PIPE_MAR_10,Marketing,2024-07-03 10:03:03,succès,410.2,1995569
LOG_004863,PIPE_MAR_10,Marketing,2024-07-03 10:51:42,succès,1839.5,1481592
LOG_008809,PIPE_FIN_06,Finance,2024-07-03 11:53:32,succès,2148.4,1576301
LOG_007001,PIPE_MAR_03,Marketing,2024-07-03 11:57:47,avertissement,3006.1,1132651
LOG_003381,PIPE_MAR_10,Marketing,2024-07-03 12:48:32,succès,1435.0,898673
LOG_004558,PIPE_MAR_05,Marketing,2024-07-03 13:22:52,succès,1698.4,1816921
LOG_005400,PIPE_RH_04,RH,2024-07-03 13:28:04,succès,2857.8,591703
LOG_004390,PIPE_FIN_08,Finance,2024-07-03 13:50:28,succès,1594.9,1551436
LOG_007058,PIPE_RH_04,RH,2024-07-03 13:51:12,succès,457.4,1384839
LOG_003121,PIPE_FIN_09,Finance,2024-07-03 14:29:26,succès,1642.0,1839034
LOG_001687,PIPE_VEN_10,Ventes,2024-07-03 14:54:00,succès,38.8,1660332
LOG_009125,PIPE_FIN_06,Finance,2024-07-03 15:00:36,succès,2492.5,1382151
LOG_004236,PIPE_RH_04,RH,2024-07-03 15:25:28,succès,1386.8,1551705
LOG_004298,PIPE_FIN_03,Finance,2024-07-03 16:16:54,échec,51.6,0
LOG_008890,PIPE_MAR_05,Marketing,2024-07-03 16:40:00,succès,1101.3,1329474
LOG_008728,PIPE_RH_04,RH,2024-07-03 17:17:08,succès,21.1,883778
LOG_001764,PIPE_VEN_06,Ventes,2024-07-03 18:06:54,succès,1653.9,309401
LOG_000993,PIPE_FIN_05,Finance,2024-07-03 18:11:26,succès,2175.7,1908784
LOG_006946,PIPE_FIN_07,Finance,2024-07-03 18:12:12,succès,1016.8,222657
LOG_008573,PIPE_VEN_09,Ventes,2024-07-03 18:26:05,avertissement,860.6,1842594
LOG_008987,PIPE_RH_05,RH,2024-07-03 18:26:43,succès,2678.3,1160983
LOG_006654,PIPE_MAR_01,Marketing,2024-07-03 18:38:09,succès,2960.8,443903
LOG_002311,PIPE_VEN_03,Ventes,2024-07-03 18:44:38,succès,127.6,1666858
LOG_009493,PIPE_FIN_03,Finance,2024-07-03 18:51:32,succès,2802.4,871090
LOG_006209,PIPE_FIN_06,Finance,2024-07-03 21:24:22,échec,63.9,0
LOG_002300,PIPE_RH_02,RH,2024-07-03 21:37:05,succès,805.6,880658
LOG_004594,PIPE_MAR_07,Marketing,2024-07-03 21:39:17,succès,596.5,948386
LOG_003248,PIPE_RH_09,RH,2024-07-03 21:58:13,succès,2121.8,830741
LOG_000806,PIPE_MAR_06,Marketing,2024-07-03 22:13:14,succès,997.6,251023
LOG_008344,PIPE_FIN_02,Finance,2024-07-03 22:44:33,succès,2797.2,213324
LOG_007686,PIPE_VEN_01,Ventes,2024-07-04 00:18:16,succès,841.3,746847
LOG_008684,PIPE_RH_06,RH,2024-07-04 00:19:31,succès,2447.5,821509
LOG_007826,PIPE_MAR_05,Marketing,2024-07-04 00:28:14,avertissement,1500.3,437809
LOG_003276,PIPE_VEN_02,Ventes,2024-07-04 00:33:34,succès,2345.0,1909238
LOG_002291,PIPE_VEN_08,Ventes,2024-07-04 01:51:59,avertissement,992.6,1357711
LOG_008845,PIPE_RH_10,RH,2024-07-04 02:44:25,succès,1031.4,1245050
LOG_001483,PIPE_FIN_02,Finance,2024-07-04 02:44:40,succès,3561.5,707084
LOG_002288,PIPE_RH_08,RH,2024-07-04 03:14:35,succès,2893.3,839607
LOG_002596,PIPE_VEN_01,Ventes,2024-07-04 03:35:26,succès,440.3,389570
LOG_005390,PIPE_FIN_03,Finance,2024-07-04 03:45:55,succès,489.3,1110030
LOG_004968,PIPE_MAR_08,Marketing,2024-07-04 04:26:05,succès,387.8,1468693
LOG_007123,PIPE_FIN_04,Finance,2024-07-04 04:38:42,échec,9.8,0
LOG_007028,PIPE_FIN_06,Finance,2024-07-04 04:41:22,succès,3444.0,1920318
LOG_001845,PIPE_MAR_04,Marketing,2024-07-04 05:18:19,échec,8.3,0
LOG_006307,PIPE_VEN_04,Ventes,2024-07-04 05:49:06,succès,1337.2,1111014
LOG_003139,PIPE_FIN_02,Finance,2024-07-04 06:34:26,succès,3269.2,850579
LOG_008674,PIPE_VEN_10,Ventes,2024-07-04 07:14:44,succès,1319.2,1113324
LOG_003906,PIPE_FIN_03,Finance,2024-07-04 08:07:12,avertissement,2377.4,579778
LOG_004567,PIPE_RH_09,RH,2024-07-04 08:07:41,échec,39.5,0
LOG_002058,PIPE_MAR_07,Marketing,2024-07-04 08:12:58,avertissement,2620.6,1995450
LOG_008970,PIPE_VEN_09,Ventes,2024-07-04 09:16:27,échec,73.5,0
LOG_009948,PIPE_FIN_04,Finance,2024-07-04 10:06:16,succès,3002.1,61659
LOG_009647,PIPE_MAR_03,Marketing,2024-07-04 10:40:32,succès,678.3,808061
LOG_002763,PIPE_RH_06,RH,2024-07-04 11:29:22,succès,2259.2,1660705
LOG_004050,PIPE_FIN_03,Finance,2024-07-04 11:50:13,succès,961.7,1011462
LOG_004774,PIPE_RH_04,RH,2024-07-04 11:58:09,succès,2633.3,314516
LOG_008964,PIPE_MAR_07,Marketing,2024-07-04 12:05:36,succès,1054.7,1276145
LOG_005532,PIPE_FIN_01,Finance,2024-07-04 13:22:44,avertissement,3186.6,67966
LOG_007786,PIPE_VEN_10,Ventes,2024-07-04 13:40:10,succès,3409.3,1007414
LOG_008437,PIPE_VEN_06,Ventes,2024-07-04 14:00:43,succès,3157.6,1855443
LOG_000931,PIPE_FIN_09,Finance,2024-07-04 15:14:03,succès,2469.3,1676847
LOG_003959,PIPE_FIN_07,Finance,2024-07-04 15:53:51,succès,2833.4,912637
LOG_000583,PIPE_VEN_07,Ventes,2024-07-04 17:07:39,succès,2619.2,275258
LOG_007161,PIPE_FIN_09,Finance,2024-07-04 17:16:52,succès,3547.3,1096358
LOG_002481,PIPE_RH_10,RH,2024-07-04 17:32:06,succès,722.7,986015
LOG_005168,PIPE_VEN_02,Ventes,2024-07-04 17:55:16,succès,1255.8,1421559
LOG_008834,PIPE_RH_07,RH,2024-07-04 18:04:19,succès,652.4,1362598
LOG_003301,PIPE_VEN_06,Ventes,2024-07-04 19:05:13,avertissement,170.6,907853
LOG_001284,PIPE_VEN_08,Ventes,2024-07-04 19:28:19,échec,28.2,0
LOG_005558,PIPE_MAR_04,Marketing,2024-07-04 20:36:37,succès,3470.0,1682732
LOG_003646,PIPE_RH_09,RH,2024-07-04 20:45:06,succès,3151.3,885618
LOG_007745,PIPE_MAR_05,Marketing,2024-07-04 21:16:38,échec,40.6,0
LOG_007440,PIPE_VEN_09,Ventes,2024-07-04 21:50:33,succès,3591.1,328158
LOG_009454,PIPE_FIN_02,Finance,2024-07-04 22:28:31,échec,88.7,0
LOG_001179,PIPE_VEN_05,Ventes,2024-07-04 23:04:53,succès,2118.8,663878
LOG_004893,PIPE_RH_04,RH,2024-07-04 23:10:28,succès,415.6,1460815
LOG_008537,PIPE_MAR_04,Marketing,2024-07-04 23:57:33,succès,1033.3,632226
LOG_004958,PIPE_MAR_06,Marketing,2024-07-05 01:02:41,succès,739.1,1722265
LOG_009410,PIPE_FIN_05,Finance,2024-07-05 01:07:25,succès,1683.0,817679
LOG_001682,PIPE_MAR_05,Marketing,2024-07-05 02:05:15,succès,3187.5,1714520
LOG_008217,PIPE_VEN_10,Ventes,2024-07-05 03:03:45,succès,613.2,199166
LOG_009545,PIPE_FIN_02,Finance,2024-07-05 03:24:05,succès,1084.2,1240673
LOG_000104,PIPE_MAR_10,Marketing,2024-07-05 03:31:58,succès,1204.0,264181
LOG_008603,PIPE_FIN_03,Finance,2024-07-05 03:45:42,échec,81.1,0
LOG_001570,PIPE_VEN_03,Ventes,2024-07-05 04:30:14,succès,1218.0,1421756
LOG_004642,PIPE_FIN_02,Finance,2024-07-05 05:02:13,succès,2253.6,660496
LOG_004280,PIPE_FIN_03,Finance,2024-07-05 05:05:16,succès,908.6,378
LOG_007597,PIPE_FIN_07,Finance,2024-07-05 05:08:20,succès,2094.1,405415
LOG_004987,PIPE_MAR_02,Marketing,2024-07-05 05:17:43,succès,3061.3,296432
LOG_000476,PIPE_MAR_02,Marketing,2024-07-05 05:35:46,avertissement,715.9,1354832
LOG_000795,PIPE_RH_09,RH,2024-07-05 07:08:14,succès,372.7,564643
LOG_008859,PIPE_RH_04,RH,2024-07-05 07:16:15,succès,1681.3,1260328
LOG_008986,PIPE_VEN_05,Ventes,2024-07-05 08:29:42,succès,1259.9,1371281
LOG_000943,PIPE_VEN_05,Ventes,2024-07-05 08:45:56,succès,1127.2,1871043
LOG_009018,PIPE_MAR_03,Marketing,2024-07-05 08:49:59,échec,79.0,0
LOG_001931,PIPE_MAR_06,Marketing,2024-07-05 09:03:20,succès,3386.5,1934247
LOG_007709,PIPE_FIN_10,Finance,2024-07-05 09:45:42,échec,117.2,0
LOG_003110,PIPE_MAR_02,Marketing,2024-07-05 10:26:41,succès,2316.3,351331
LOG_004726,PIPE_FIN_03,Finance,2024-07-05 10:56:05,échec,119.4,0
LOG_007293,PIPE_VEN_04,Ventes,2024-07-05 11:02:01,succès,536.2,568880
LOG_002668,PIPE_MAR_07,Marketing,2024-07-05 11:18:42,succès,981.8,1849381
LOG_007485,PIPE_RH_08,RH,2024-07-05 11:40:16,succès,3211.2,1306563
LOG_004805,PIPE_FIN_06,Finance,2024-07-05 11:55:54,succès,3454.1,197679
LOG_009588,PIPE_VEN_06,Ventes,2024-07-05 12:15:05,succès,3558.7,897016
LOG_001323,PIPE_FIN_03,Finance,2024-07-05 13:09:11,succès,2868.8,1242670
LOG_008497,PIPE_VEN_01,Ventes,2024-07-05 13:18:32,succès,3430.9,982849
LOG_008741,PIPE_RH_03,RH,2024-07-05 13:20:29,succès,978.0,1523615
LOG_007893,PIPE_MAR_10,Marketing,2024-07-05 13:59:15,succès,1642.3,551410
LOG_009071,PIPE_RH_03,RH,2024-07-05 14:18:53,succès,189.4,152865
LOG_006474,PIPE_FIN_05,Finance,2024-07-05 14:36:58,succès,1614.6,282619
LOG_005625,PIPE_MAR_08,Marketing,2024-07-05 14:42:56,avertissement,246.4,714726
LOG_002002,PIPE_VEN_07,Ventes,2024-07-05 15:31:43,succès,3563.8,277716
LOG_004111,PIPE_FIN_07,Finance,2024-07-05 16:10:34,succès,1137.1,1337412
LOG_007706,PIPE_RH_10,RH,2024-07-05 16:12:33,succès,3208.5,806643
LOG_003836,PIPE_FIN_09,Finance,2024-07-05 16:20:38,avertissement,2439.3,567061
LOG_002546,PIPE_FIN_09,Finance,2024-07-05 16:53:51,succès,3035.2,473049
LOG_004653,PIPE_MAR_08,Marketing,2024-07-05 16:54:27,succès,2340.8,1110960
LOG_005506,PIPE_RH_05,RH,2024-07-05 17:17:03,succès,1873.5,672183
LOG_009166,PIPE_RH_02,RH,2024-07-05 17:41:32,succès,750.1,676694
LOG_001072,PIPE_VEN_10,Ventes,2024-07-05 17:46:30,avertissement,1672.2,290815
LOG_009412,PIPE_FIN_02,Finance,2024-07-05 18:11:41,avertissement,74.6,809465
LOG_009257,PIPE_VEN_02,Ventes,2024-07-05 18:27:04,succès,2585.9,475063
LOG_004756,PIPE_MAR_06,Marketing,2024-07-05 18:31:36,succès,2358.8,1843701
LOG_008827,PIPE_RH_10,RH,2024-07-05 18:35:12,succès,1254.2,1477111
LOG_004765,PIPE_MAR_09,Marketing,2024-07-05 18:48:55,succès,3327.8,1926241
LOG_001983,PIPE_VEN_03,Ventes,2024-07-05 19:05:06,succès,2838.5,702616
LOG_008235,PIPE_VEN_10,Ventes,2024-07-05 19:35:53,succès,3385.8,547605
LOG_006641,PIPE_RH_01,RH,2024-07-05 20:00:51,succès,3379.4,208374
LOG_009711,PIPE_MAR_09,Marketing,2024-07-05 20:48:51,succès,1861.5,1936992
LOG_008283,PIPE_FIN_03,Finance,2024-07-05 21:18:41,succès,922.9,1129788
LOG_006830,PIPE_RH_10,RH,2024-07-05 21:37:34,succès,1075.5,1436103
LOG_007052,PIPE_MAR_01,Marketing,2024-07-05 23:11:23,succès,2089.8,116692
LOG_008880,PIPE_MAR_05,Marketing,2024-07-05 23:32:31,échec,99.9,0
LOG_001541,PIPE_VEN_03,Ventes,2024-07-05 23:40:46,succès,3129.1,586185
LOG_006456,PIPE_RH_02,RH,2024-07-06 00:44:52,succès,1794.9,718636
LOG_001252,PIPE_RH_06,RH,2024-07-06 00:59:32,succès,3532.9,255933
LOG_004493,PIPE_FIN_10,Finance,2024-07-06 01:47:39,succès,369.1,1532549
LOG_007564,PIPE_VEN_03,Ventes,2024-07-06 01:56:34,avertissement,1231.9,1657841
LOG_000215,PIPE_RH_08,RH,2024-07-06 02:29:32,succès,2062.3,980321
LOG_003176,PIPE_VEN_03,Ventes,2024-07-06 02:35:57,succès,188.3,966345
LOG_006589,PIPE_FIN_02,Finance,2024-07-06 02:46:45,succès,20.5,1190851
LOG_007769,PIPE_RH_06,RH,2024-07-06 02:57:41,avertissement,3235.1,1996618
LOG_001889,PIPE_FIN_09,Finance,2024-07-06 03:08:09,avertissement,1518.2,1585245
LOG_006212,PIPE_RH_06,RH,2024-07-06 04:43:14,succès,3063.2,1249288
LOG_005684,PIPE_FIN_06,Finance,2024-07-06 04:56:23,succès,2081.3,915988
LOG_002143,PIPE_MAR_10,Marketing,2024-07-06 05:20:44,succès,2192.6,1610385
LOG_002853,PIPE_FIN_03,Finance,2024-07-06 05:21:36,succès,3530.6,1199050
LOG_009781,PIPE_RH_02,RH,2024-07-06 05:23:37,succès,1524.2,1639497
LOG_009729,PIPE_FIN_01,Finance,2024-07-06 05:54:18,succès,2923.4,1914732
LOG_004660,PIPE_VEN_03,Ventes,2024-07-06 06:08:22,échec,107.5,0
LOG_008962,PIPE_FIN_10,Finance,2024-07-06 07:12:24,échec,53.4,0
LOG_005438,PIPE_RH_05,RH,2024-07-06 07:19:36,succès,3089.0,1965884
LOG_002603,PIPE_VEN_08,Ventes,2024-07-06 07:21:29,succès,3466.2,1591942
LOG_002018,PIPE_VEN_03,Ventes,2024-07-06 07:27:38,succès,147.9,1867916
LOG_009770,PIPE_FIN_04,Finance,2024-07-06 07:55:14,échec,10.4,0
LOG_007793,PIPE_VEN_03,Ventes,2024-07-06 08:08:02,succès,2975.9,1180550
LOG_007113,PIPE_FIN_04,Finance,2024-07-06 10:26:35,succès,3293.9,1059342
LOG_001725,PIPE_VEN_06,Ventes,2024-07-06 10:43:01,succès,590.1,223372
LOG_003101,PIPE_FIN_03,Finance,2024-07-06 10:51:16,succès,2711.1,206787
LOG_009221,PIPE_MAR_10,Marketing,2024-07-06 11:13:49,succès,2361.8,1607679
LOG_000491,PIPE_MAR_10,Marketing,2024-07-06 11:27:07,succès,1269.3,1190551
LOG_009327,PIPE_VEN_10,Ventes,2024-07-06 13:23:41,succès,79.9,1098416
LOG_007591,PIPE_MAR_06,Marketing,2024-07-06 14:24:37,succès,2154.9,1488556
LOG_002038,PIPE_MAR_04,Marketing,2024-07-06 14:58:30,succès,1829.4,1866168
LOG_005620,PIPE_VEN_01,Ventes,2024-07-06 16:13:47,succès,2500.9,1729851
LOG_007869,PIPE_MAR_09,Marketing,2024-07-06 16:20:44,succès,2417.9,346490
LOG_000486,PIPE_FIN_04,Finance,2024-07-06 16:33:50,échec,11.7,0
LOG_006191,PIPE_RH_04,RH,2024-07-06 16:47:18,succès,2315.4,246178
LOG_000479,PIPE_MAR_08,Marketing,2024-07-06 17:23:50,succès,1538.9,742372
LOG_007615,PIPE_RH_03,RH,2024-07-06 18:00:31,avertissement,3473.5,986031
LOG_003884,PIPE_RH_02,RH,2024-07-06 18:03:40,succès,3164.9,1903004
LOG_000346,PIPE_FIN_06,Finance,2024-07-06 18:03:56,succès,2821.9,944972
LOG_005612,PIPE_VEN_06,Ventes,2024-07-06 18:14:34,succès,1461.8,1900385
LOG_001162,PIPE_FIN_03,Finance,2024-07-06 18:31:17,succès,195.0,143185
LOG_001312,PIPE_VEN_06,Ventes,2024-07-06 18:42:19,succès,2773.7,1505070
LOG_007360,PIPE_MAR_09,Marketing,2024-07-06 19:05:34,avertissement,1489.5,1972200
LOG_005539,PIPE_RH_09,RH,2024-07-06 20:26:35,échec,52.8,0
LOG_007252,PIPE_RH_02,RH,2024-07-06 20:36:48,succès,3574.5,729448
LOG_009653,PIPE_VEN_02,Ventes,2024-07-06 21:05:45,succès,2832.7,1975380
LOG_009712,PIPE_VEN_07,Ventes,2024-07-06 22:02:59,succès,3346.8,1948699
LOG_000472,PIPE_FIN_03,Finance,2024-07-07 00:51:10,avertissement,3077.3,1166019
LOG_009164,PIPE_FIN_02,Finance,2024-07-07 01:39:31,succès,2129.4,766302
LOG_001754,PIPE_FIN_10,Finance,2024-07-07 01:58:36,avertissement,2788.3,130962
