score_id,table_id,nom,domaine,semaine,completude,unicite,validite,score_global,alerte
SCR_0000068,TBL_0003,rh_immense_3,RH,2024-40,87.2,93.2,93.3,91.2,False
SCR_0000069,TBL_0003,rh_immense_3,RH,2024-41,79.5,87.2,90.6,85.8,False
SCR_0000070,TBL_0003,rh_immense_3,RH,2024-42,87.1,91.5,100.0,92.9,False
SCR_0000071,TBL_0003,rh_immense_3,RH,2024-43,87.3,93.4,92.8,91.2,False
SCR_0000072,TBL_0003,rh_immense_3,RH,2024-44,87.6,89.1,91.8,89.5,False
SCR_0000073,TBL_0003,rh_immense_3,RH,2024-45,81.9,89.3,85.6,85.6,False
SCR_0000074,TBL_0003,rh_immense_3,RH,2024-46,85.3,96.9,78.7,87.0,False
SCR_0000075,TBL_0003,rh_immense_3,RH,2024-47,87.7,85.2,85.6,86.2,False
SCR_0000076,TBL_0003,rh_immense_3,RH,2024-48,89.4,90.2,82.6,87.4,False
SCR_0000077,TBL_0003,rh_immense_3,RH,2024-49,82.1,92.0,84.3,86.1,False
SCR_0000078,TBL_0003,rh_immense_3,RH,2024-50,85.9,90.1,84.7,86.9,False
SCR_0000079,TBL_0003,rh_immense_3,RH,2024-51,93.6,91.9,77.9,87.8,False
SCR_0000080,TBL_0003,rh_immense_3,RH,2024-52,85.7,88.0,92.3,88.7,False
SCR_0000081,TBL_0003,rh_immense_3,RH,2024-53,81.8,89.7,90.5,87.3,False
SCR_0000082,TBL_0004,rh_devant_4,RH,2024-27,93.5,91.4,90.3,91.7,False
SCR_0000083,TBL_0004,rh_devant_4,RH,2024-28,88.1,93.0,100.0,93.7,False
SCR_0000084,TBL_0004,rh_devant_4,RH,2024-29,91.6,91.2,96.6,93.1,False
SCR_0000085,TBL_0004,rh_devant_4,RH,2024-30,98.5,98.1,84.4,93.7,False
SCR_0000086,TBL_0004,rh_devant_4,RH,2024-31,88.1,98.8,88.5,91.8,False
SCR_0000087,TBL_0004,rh_devant_4,RH,2024-32,91.8,97.3,87.4,92.2,False
SCR_0000088,TBL_0004,rh_devant_4,RH,2024-33,89.8,85.3,86.9,87.3,False
SCR_0000089,TBL_0004,rh_devant_4,RH,2024-34,89.0,91.3,100.0,93.4,False
SCR_0000090,TBL_0004,rh_devant_4,RH,2024-35,84.3,93.7,92.7,90.2,False
SCR_0000091,TBL_0004,rh_devant_4,RH,2024-36,95.8,90.7,97.8,94.8,False
SCR_0000092,TBL_0004,rh_devant_4,RH,2024-37,90.0,92.1,94.3,92.1,False
SCR_0000093,TBL_0004,rh_devant_4,RH,2024-38,90.8,93.2,92.3,92.1,False
SCR_0000094,TBL_0004,rh_devant_4,RH,2024-39,88.5,95.3,95.3,93.0,False
SCR_0000095,TBL_0004,rh_devant_4,RH,2024-40,96.3,91.3,100.0,95.9,False
SCR_0000096,TBL_0004,rh_devant_4,RH,2024-41,82.2,94.5,94.9,90.5,False
SCR_0000097,TBL_0004,rh_devant_4,RH,2024-42,91.1,93.1,91.0,91.7,False
SCR_0000098,TBL_0004,rh_devant_4,RH,2024-43,88.0,93.2,96.2,92.5,False
SCR_0000099,TBL_0004,rh_devant_4,RH,2024-44,91.4,92.9,96.5,93.6,False
SCR_0000100,TBL_0004,rh_devant_4,RH,2024-45,91.2,97.4,95.1,94.6,False
SCR_0000101,TBL_0004,rh_devant_4,RH,2024-46,86.7,93.3,95.7,91.9,False
SCR_0000102,TBL_0004,rh_devant_4,RH,2024-47,92.4,94.9,92.6,93.3,False
SCR_0000103,TBL_0004,rh_devant_4,RH,2024-48,95.1,93.2,94.7,94.3,False
SCR_0000104,TBL_0004,rh_devant_4,RH,2024-49,89.2,94.3,97.5,93.7,False
SCR_0000105,TBL_0004,rh_devant_4,RH,2024-50,93.3,97.4,98.5,96.4,False
SCR_0000106,TBL_0004,rh_devant_4,RH,2024-51,90.1,97.0,90.4,92.5,False
SCR_0000107,TBL_0004,rh_devant_4,RH,2024-52,91.3,94.6,92.5,92.8,False
SCR_0000108,TBL_0004,rh_devant_4,RH,2024-53,92.4,92.5,100.0,95.0,False
SCR_0000109,TBL_0005,rh_pensée_5,RH,2024-27,81.0,86.4,93.8,87.1,False
SCR_0000110,TBL_0005,rh_pensée_5,RH,2024-28,88.2,91.9,91.1,90.4,False
SCR_0000111,TBL_0005,rh_pensée_5,RH,2024-29,85.0,87.3,88.4,86.9,False
SCR_0000112,TBL_0005,rh_pensée_5,RH,2024-30,82.3,92.9,87.3,87.5,False
SCR_0000113,TBL_0005,rh_pensée_5,RH,2024-31,81.7,89.0,90.1,86.9,False
SCR_0000114,TBL_0005,rh_pensée_5,RH,2024-32,82.7,87.5,89.2,86.5,False
SCR_0000115,TBL_0005,rh_pensée_5,RH,2024-33,86.0,88.5,85.6,86.7,False
SCR_0000116,TBL_0005,rh_pensée_5,RH,2024-34,85.9,85.7,81.0,84.2,False
SCR_0000117,TBL_0005,rh_pensée_5,RH,2024-35,82.1,89.4,89.6,87.0,False
SCR_0000118,TBL_0005,rh_pensée_5,RH,2024-36,90.9,92.6,87.2,90.2,False
SCR_0000119,TBL_0005,rh_pensée_5,RH,2024-37,84.9,87.0,87.9,86.6,False
SCR_0000120,TBL_0005,rh_pensée_5,RH,2024-38,83.8,91.0,83.9,86.2,False
SCR_0000121,TBL_0005,rh_pensée_5,RH,2024-39,87.1,94.6,87.5,89.7,False
SCR_0000122,TBL_0005,rh_pensée_5,RH,2024-40,86.6,92.1,86.0,88.2,False
SCR_0000123,TBL_0005,rh_pensée_5,RH,2024-41,85.9,90.0,88.5,88.1,False
SCR_0000124,TBL_0005,rh_pensée_5,RH,2024-42,81.9,90.1,90.5,87.5,False
SCR_0000125,TBL_0005,rh_pensée_5,RH,2024-43,90.8,92.9,98.8,94.2,False
SCR_0000126,TBL_0005,rh_pensée_5,RH,2024-44,81.9,92.6,88.9,87.8,False
SCR_0000127,TBL_0005,rh_pensée_5,RH,2024-45,93.8,87.6,83.8,88.4,False
SCR_0000128,TBL_0005,rh_pensée_5,RH,2024-46,82.6,83.6,85.4,83.9,False
SCR_0000129,TBL_0005,rh_pensée_5,RH,2024-47,82.0,90.5,89.7,87.4,False
SCR_0000130,TBL_0005,rh_pensée_5,RH,2024-48,92.5,92.9,85.1,90.2,False
SCR_0000131,TBL_0005,rh_pensée_5,RH,2024-49,81.4,91.5,81.4,84.8,False
SCR_0000132,TBL_0005,rh_pensée_5,RH,2024-50,92.3,93.5,85.7,90.5,False
SCR_0000133,TBL_0005,rh_pensée_5,RH,2024-51,78.1,94.1,87.4,86.5,False
SCR_0000134,TBL_0005,rh_pensée_5,RH,2024-52,90.0,85.2,85.0,86.7,False
SCR_0000135,TBL_0005,rh_pensée_5,RH,2024-53,85.0,90.1,85.7,86.9,False
SCR_0000136,TBL_0006,rh_voie_6,RH,2024-27,87.5,86.8,87.3,87.2,False
SCR_0000137,TBL_0006,rh_voie_6,RH,2024-28,85.5,91.5,91.6,89.5,False
SCR_0000138,TBL_0006,rh_voie_6,RH,2024-29,80.5,85.4,94.4,86.8,False
SCR_0000139,TBL_0006,rh_voie_6,RH,2024-30,86.3,87.8,95.8,90.0,False
SCR_0000140,TBL_0006,rh_voie_6,RH,2024-31,85.5,93.5,88.3,89.1,False
SCR_0000141,TBL_0006,rh_voie_6,RH,2024-32,93.2,95.3,86.8,91.8,False
SCR_0000142,TBL_0006,rh_voie_6,RH,2024-33,88.9,91.9,94.8,91.9,False
SCR_0000143,TBL_0006,rh_voie_6,RH,2024-34,81.1,92.1,93.3,88.8,False
SCR_0000144,TBL_0006,rh_voie_6,RH,2024-35,78.0,86.5,77.8,80.8,False
SCR_0000145,TBL_0006,rh_voie_6,RH,2024-36,83.9,92.2,95.5,90.5,False
SCR_0000146,TBL_0006,rh_voie_6,RH,2024-37,85.3,94.9,81.1,87.1,False
SCR_0000147,TBL_0006,rh_voie_6,RH,2024-38,78.2,89.8,89.9,86.0,False
SCR_0000148,TBL_0006,rh_voie_6,RH,2024-39,84.9,83.8,87.6,85.4,False
SCR_0000149,TBL_0006,rh_voie_6,RH,2024-40,79.8,92.0,89.8,87.2,False
SCR_0000150,TBL_0006,rh_voie_6,RH,2024-41,81.2,88.5,82.7,84.1,False
SCR_0000151,TBL_0006,rh_voie_6,RH,2024-42,84.7,92.9,83.1,86.9,False
SCR_0000152,TBL_0006,rh_voie_6,RH,2024-43,87.0,88.4,84.0,86.5,False
SCR_0000153,TBL_0006,rh_voie_6,RH,2024-44,84.6,86.9,85.2,85.6,False
SCR_0000154,TBL_0006,rh_voie_6,RH,2024-45,80.2,95.9,88.2,88.1,False
SCR_0000155,TBL_0006,rh_voie_6,RH,2024-46,82.2,90.6,87.4,86.7,False
SCR_0000156,TBL_0006,rh_voie_6,RH,2024-47,84.1,91.8,91.8,89.2,False
SCR_0000157,TBL_0006,rh_voie_6,RH,2024-48,82.9,88.3,86.6,85.9,False
SCR_0000158,TBL_0006,rh_voie_6,RH,2024-49,75.8,85.5,94.8,85.4,False
SCR_0000159,TBL_0006,rh_voie_6,RH,2024-50,91.6,89.3,90.9,90.6,False
SCR_0000160,TBL_0006,rh_voie_6,RH,2024-51,86.2,99.2,93.6,93.0,False
SCR_0000161,TBL_0006,rh_voie_6,RH,2024-52,84.5,87.1,80.0,83.9,False
SCR_0000162,TBL_0006,rh_voie_6,RH,2024-53,85.8,87.7,80.9,84.8,False
SCR_0000163,TBL_0007,rh_besoin_7,RH,2024-27,82.4,86.8,96.4,88.5,False
SCR_0000164,TBL_0007,rh_besoin_7,RH,2024-28,88.5,90.0,95.4,91.3,False
SCR_0000165,TBL_0007,rh_besoin_7,RH,2024-29,85.3,87.4,95.6,89.4,False
SCR_0000166,TBL_0007,rh_besoin_7,RH,2024-30,87.2,86.9,87.0,87.0,False
SCR_0000167,TBL_0007,rh_besoin_7,RH,2024-31,81.5,85.9,92.6,86.7,False
SCR_0000168,TBL_0007,rh_besoin_7,RH,2024-32,92.6,85.8,90.8,89.7,False
SCR_0000169,TBL_0007,rh_besoin_7,RH,2024-33,82.4,88.5,85.0,85.3,False
SCR_0000170,TBL_0007,rh_besoin_7,RH,2024-34,81.5,90.1,83.8,85.1,False
SCR_0000171,TBL_0007,rh_besoin_7,RH,2024-35,86.1,89.8,86.8,87.6,False
SCR_0000172,TBL_0007,rh_besoin_7,RH,2024-36,81.4,88.3,91.8,87.2,False
SCR_0000173,TBL_0007,rh_besoin_7,RH,2024-37,87.0,87.1,88.5,87.5,False
SCR_0000174,TBL_0007,rh_besoin_7,RH,2024-38,88.0,85.0,90.7,87.9,False
SCR_0000175,TBL_0007,rh_besoin_7,RH,2024-39,82.3,91.7,84.2,86.1,False
SCR_0000176,TBL_0007,rh_besoin_7,RH,2024-40,77.8,85.1,88.2,83.7,False
SCR_0000177,TBL_0007,rh_besoin_7,RH,2024-41,86.0,87.3,91.2,88.2,False
SCR_0000178,TBL_0007,rh_besoin_7,RH,2024-42,78.4,89.8,81.9,83.4,False
SCR_0000179,TBL_0007,rh_besoin_7,RH,2024-43,82.4,90.1,83.7,85.4,False
SCR_0000180,TBL_0007,rh_besoin_7,RH,2024-44,83.5,93.0,85.1,87.2,False
SCR_0000181,TBL_0007,rh_besoin_7,RH,2024-45,88.3,86.6,90.6,88.5,False
SCR_0000182,TBL_0007,rh_besoin_7,RH,2024-46,90.8,82.6,84.0,85.8,False
SCR_0000183,TBL_0007,rh_besoin_7,RH,2024-47,87.3,89.4,89.9,88.9,False
SCR_0000184,TBL_0007,rh_besoin_7,RH,2024-48,82.6,90.3,87.2,86.7,False
SCR_0000185,TBL_0007,rh_besoin_7,RH,2024-49,89.7,90.8,89.7,90.1,False
SCR_0000186,TBL_0007,rh_besoin_7,RH,2024-50,83.4,88.5,85.8,85.9,False
SCR_0000187,TBL_0007,rh_besoin_7,RH,2024-51,86.6,88.7,89.4,88.2,False
SCR_0000188,TBL_0007,rh_besoin_7,RH,2024-52,93.3,92.6,86.4,90.8,False
SCR_0000189,TBL_0007,rh_besoin_7,RH,2024-53,89.8,88.8,77.8,85.5,False
SCR_0000190,TBL_0008,rh_émotion_8,RH,2024-27,86.0,89.4,90.2,88.5,False
SCR_0000191,TBL_0008,rh_émotion_8,RH,2024-28,90.1,100.0,93.6,94.6,False
SCR_0000192,TBL_0008,rh_émotion_8,RH,2024-29,89.1,97.5,80.9,89.2,False
SCR_0000193,TBL_0008,rh_émotion_8,RH,2024-30,90.9,97.3,84.6,90.9,False
SCR_0000194,TBL_0008,rh_émotion_8,RH,2024-31,94.6,96.0,89.9,93.5,False
SCR_0000195,TBL_0008,rh_émotion_8,RH,2024-32,92.5,100.0,92.9,95.1,False
SCR_0000196,TBL_0008,rh_émotion_8,RH,2024-33,91.0,93.6,87.8,90.8,False
SCR_0000197,TBL_0008,rh_émotion_8,RH,2024-34,93.3,92.4,92.4,92.7,False
SCR_0000198,TBL_0008,rh_émotion_8,RH,2024-35,88.1,96.4,93.7,92.7,False
SCR_0000199,TBL_0008,rh_émotion_8,RH,2024-36,94.2,93.5,90.7,92.8,False
SCR_0000200,TBL_0008,rh_émotion_8,RH,2024-37,86.1,93.7,93.9,91.2,False
SCR_0000201,TBL_0008,rh_émotion_8,RH,2024-38,93.0,92.2,96.3,93.8,False
SCR_0000202,TBL_0008,rh_émotion_8,RH,2024-39,95.4,96.2,100.0,97.2,False
SCR_0000203,TBL_0008,rh_émotion_8,RH,2024-40,86.9,91.3,83.1,87.1,False
SCR_0000204,TBL_0008,rh_émotion_8,RH,2024-41,96.0,97.0,91.7,94.9,False
SCR_0000205,TBL_0008,rh_émotion_8,RH,2024-42,91.1,91.6,100.0,94.2,False
SCR_0000206,TBL_0008,rh_émotion_8,RH,2024-43,90.5,95.3,95.6,93.8,False
SCR_0000207,TBL_0008,rh_émotion_8,RH,2024-44,91.9,95.7,88.0,91.9,False
SCR_0000208,TBL_0008,rh_émotion_8,RH,2024-45,91.9,100.0,98.7,96.9,False
SCR_0000209,TBL_0008,rh_émotion_8,RH,2024-46,96.4,93.5,87.1,92.3,False
SCR_0000210,TBL_0008,rh_émotion_8,RH,2024-47,89.5,95.2,97.5,94.1,False
SCR_0000211,TBL_0008,rh_émotion_8,RH,2024-48,83.2,99.6,91.2,91.3,False
SCR_0000212,TBL_0008,rh_émotion_8,RH,2024-49,88.3,92.0,83.7,88.0,False
SCR_0000213,TBL_0008,rh_émotion_8,RH,2024-50,93.3,95.2,85.6,91.4,False
SCR_0000214,TBL_0008,rh_émotion_8,RH,2024-51,84.8,94.0,100.0,92.9,False
SCR_0000215,TBL_0008,rh_émotion_8,RH,2024-52,89.0,90.5,90.8,90.1,False
SCR_0000216,TBL_0008,rh_émotion_8,RH,2024-53,88.9,86.9,91.7,89.2,False
SCR_0000217,TBL_0009,rh_souvent_9,RH,2024-27,84.1,92.1,97.2,91.1,False
SCR_0000218,TBL_0009,rh_souvent_9,RH,2024-28,89.5,89.2,82.5,87.1,False
SCR_0000219,TBL_0009,rh_souvent_9,RH,2024-29,95.3,90.2,88.1,91.2,False
SCR_0000220,TBL_0009,rh_souvent_9,RH,2024-30,84.9,90.6,87.3,87.6,False
SCR_0000221,TBL_0009,rh_souvent_9,RH,2024-31,82.7,88.4,87.8,86.3,False
SCR_0000222,TBL_0009,rh_souvent_9,RH,2024-32,82.8,87.9,88.5,86.4,False
SCR_0000223,TBL_0009,rh_souvent_9,RH,2024-33,84.0,94.5,74.7,84.4,False
SCR_0000224,TBL_0009,rh_souvent_9,RH,2024-34,89.4,93.7,77.6,86.9,False
SCR_0000225,TBL_0009,rh_souvent_9,RH,2024-35,83.6,88.9,81.0,84.5,False
SCR_0000226,TBL_0009,rh_souvent_9,RH,2024-36,81.9,86.7,96.8,88.5,False
SCR_0000227,TBL_0009,rh_souvent_9,RH,2024-37,88.7,93.8,91.6,91.4,False
SCR_0000228,TBL_0009,rh_souvent_9,RH,2024-38,80.5,88.4,90.4,86.4,False
SCR_0000229,TBL_0009,rh_souvent_9,RH,2024-39,80.1,92.1,86.8,86.3,False
SCR_0000230,TBL_0009,rh_souvent_9,RH,2024-40,83.5,92.1,90.2,88.6,False
SCR_0000231,TBL_0009,rh_souvent_9,RH,2024-41,83.6,93.5,82.6,86.6,False
SCR_0000232,TBL_0009,rh_souvent_9,RH,2024-42,87.5,91.8,86.5,88.6,False
SCR_0000233,TBL_0009,rh_souvent_9,RH,2024-43,86.3,86.2,92.6,88.4,False
SCR_0000234,TBL_0009,rh_souvent_9,RH,2024-44,84.3,88.4,93.2,88.6,False
SCR_0000235,TBL_0009,rh_souvent_9,RH,2024-45,82.2,85.8,80.2,82.7,False
SCR_0000236,TBL_0009,rh_souvent_9,RH,2024-46,87.4,86.2,96.8,90.1,False
SCR_0000237,TBL_0009,rh_souvent_9,RH,2024-47,76.7,95.1,89.1,87.0,False
SCR_0000238,TBL_0009,rh_souvent_9,RH,2024-48,84.6,88.4,90.0,87.7,False
SCR_0000239,TBL_0009,rh_souvent_9,RH,2024-49,84.8,93.3,88.6,88.9,False
SCR_0000240,TBL_0009,rh_souvent_9,RH,2024-50,85.6,88.9,87.7,87.4,False
SCR_0000241,TBL_0009,rh_souvent_9,RH,2024-51,86.2,84.9,81.3,84.1,False
SCR_0000242,TBL_0009,rh_souvent_9,RH,2024-52,88.0,90.5,87.1,88.5,False
SCR_0000243,TBL_0009,rh_souvent_9,RH,2024-53,85.1,91.0,85.3,87.1,False
SCR_0000244,TBL_0010,rh_moitié_10,RH,2024-27,71.9,88.6,75.1,78.5,True
SCR_0000245,TBL_0010,rh_moitié_10,RH,2024-28,76.6,82.9,85.1,81.5,False
SCR_0000246,TBL_0010,rh_moitié_10,RH,2024-29,76.9,88.8,84.9,83.5,False
SCR_0000247,TBL_0010,rh_moitié_10,RH,2024-30,81.7,91.0,70.8,81.2,False
SCR_0000248,TBL_0010,rh_moitié_10,RH,2024-31,69.9,86.1,80.1,78.7,True
SCR_0000249,TBL_0010,rh_moitié_10,RH,2024-32,77.1,85.8,80.9,81.3,False
SCR_0000250,TBL_0010,rh_moitié_10,RH,2024-33,72.0,86.2,73.0,77.1,True
SCR_0000251,TBL_0010,rh_moitié_10,RH,2024-34,71.3,83.9,75.1,76.8,True
SCR_0000252,TBL_0010,rh_moitié_10,RH,2024-35,79.2,85.2,93.2,85.9,False
SCR_0000253,TBL_0010,rh_moitié_10,RH,2024-36,77.0,88.6,75.7,80.4,False
SCR_0000254,TBL_0010,rh_moitié_10,RH,2024-37,77.8,86.3,80.6,81.6,False
SCR_0000255,TBL_0010,rh_moitié_10,RH,2024-38,85.2,87.7,85.7,86.2,False
SCR_0000256,TBL_0010,rh_moitié_10,RH,2024-39,72.2,87.9,88.9,83.0,False
SCR_0000257,TBL_0010,rh_moitié_10,RH,2024-40,72.5,93.4,83.5,83.1,False
SCR_0000258,TBL_0010,rh_moitié_10,RH,2024-41,72.8,89.9,84.9,82.5,False
SCR_0000259,TBL_0010,rh_moitié_10,RH,2024-42,77.5,83.3,76.4,79.1,True
SCR_0000260,TBL_0010,rh_moitié_10,RH,2024-43,74.0,87.8,83.1,81.6,False
SCR_0000261,TBL_0010,rh_moitié_10,RH,2024-44,75.7,84.0,81.9,80.5,False
SCR_0000262,TBL_0010,rh_moitié_10,RH,2024-45,77.4,89.7,85.4,84.2,False
SCR_0000263,TBL_0010,rh_moitié_10,RH,2024-46,78.3,89.4,79.6,82.4,False
SCR_0000264,TBL_0010,rh_moitié_10,RH,2024-47,68.4,89.3,81.0,79.6,True
SCR_0000265,TBL_0010,rh_moitié_10,RH,2024-48,76.1,84.2,74.6,78.3,True
SCR_0000266,TBL_0010,rh_moitié_10,RH,2024-49,79.2,87.9,83.4,83.5,False
SCR_0000267,TBL_0010,rh_moitié_10,RH,2024-50,75.1,88.1,84.7,82.6,False
SCR_0000268,TBL_0010,rh_moitié_10,RH,2024-51,72.9,88.3,77.7,79.6,True
SCR_0000269,TBL_0010,rh_moitié_10,RH,2024-52,73.3,87.1,81.1,80.5,False
SCR_0000270,TBL_0010,rh_moitié_10,RH,2024-53,73.1,91.8,75.5,80.1,False
SCR_0000271,TBL_0011,rh_raconter_11,RH,2024-27,84.3,88.7,95.2,89.4,False
SCR_0000272,TBL_0011,rh_raconter_11,RH,2024-28,85.8,93.1,80.6,86.5,False
SCR_0000273,TBL_0011,rh_raconter_11,RH,2024-29,86.1,92.7,88.4,89.1,False
SCR_0000274,TBL_0011,rh_raconter_11,RH,2024-30,89.3,88.4,95.0,90.9,False
SCR_0000275,TBL_0011,rh_raconter_11,RH,2024-31,94.2,88.9,85.8,89.6,False
SCR_0000276,TBL_0011,rh_raconter_11,RH,2024-32,90.8,94.7,85.4,90.3,False
SCR_0000277,TBL_0011,rh_raconter_11,RH,2024-33,83.3,89.2,81.3,84.6,False
SCR_0000278,TBL_0011,rh_raconter_11,RH,2024-34,81.3,87.0,84.2,84.2,False
SCR_0000279,TBL_0011,rh_raconter_11,RH,2024-35,84.9,90.7,95.8,90.5,False
SCR_0000280,TBL_0011,rh_raconter_11,RH,2024-36,81.0,93.0,86.9,87.0,False
SCR_0000281,TBL_0011,rh_raconter_11,RH,2024-37,84.8,92.0,82.4,86.4,False
