kpi_id;semaine;domaine;nb_executions;nb_succes;nb_echecs;nb_avertissements;duree_moyenne_sec;volume_total_lignes;taux_succes;completude_moy;unicite_moy;validite_moy;score_global_moy;nb_alertes;nb_acces;nb_utilisateurs;nb_tables_vues
27;2024-33;RH;78;67;4;7;1634,69;70272128;85,9;86,14;89,71;86,14;87,33;1;46;38;30
28;2024-33;Ventes;87;70;10;7;1437,67;81007336;80,5;83,51;90,01;87,18;86,9;3;54;38;36
29;2024-34;Finance;115;101;10;4;1846,14;99274360;87,8;84,37;90,99;88,09;87,82;7;48;36;32
30;2024-34;Marketing;93;76;11;6;1571,58;86197549;81,7;83,44;89,49;85,89;86,28;7;56;40;35
31;2024-34;RH;73;58;6;9;1671,68;64101449;79,5;85,14;89,87;86,81;87,27;2;38;31;23
32;2024-34;Ventes;90;73;7;10;1637,87;80923006;81,1;85,1;89,73;86,65;87,16;1;59;41;37
33;2024-35;Finance;122;103;8;11;1696,73;128359940;84,4;84,9;91,57;88,61;88,36;5;47;39;27
34;2024-35;Marketing;85;70;8;7;1698,42;83218538;82,4;83,5;89,6;86,61;86,57;8;42;32;26
35;2024-35;RH;86;70;7;9;1698,35;76679060;81,4;85,94;91,19;88,32;88,48;1;51;34;29
36;2024-35;Ventes;89;73;6;10;1808,2;84856562;82,0;83,7;89,78;85,65;86,38;5;44;33;31
37;2024-36;Finance;132;104;8;20;1749,47;132429796;78,8;84,99;92,01;89,05;88,68;3;50;36;36
38;2024-36;Marketing;101;78;10;13;1611,99;90314512;77,2;84,22;90,32;88,15;87,56;4;50;36;34
39;2024-36;RH;71;60;8;3;1614,48;68688050;84,5;84,9;90,48;88,01;87,79;3;54;38;34
40;2024-36;Ventes;77;66;6;5;1581,42;81178224;85,7;83,28;89,52;86,55;86,45;5;55;41;33
41;2024-37;Finance;113;94;6;13;1799,0;109113193;83,2;85,55;90,95;87,86;88,12;1;40;31;27
42;2024-37;Marketing;87;66;11;10;1481,74;75391524;75,9;83,46;90,45;87,21;87,04;2;51;39;30
43;2024-37;RH;77;68;3;6;1595,72;70263809;88,3;85,42;90,56;88,23;88,07;1;49;38;31
44;2024-37;Ventes;105;85;8;12;1817,0;90683738;81,0;84,0;90,08;87,92;87,33;3;42;30;27
45;2024-38;Finance;121;107;6;8;1758,52;116848616;88,4;84,65;91,68;88,13;88,15;5;34;30;30
46;2024-38;Marketing;86;68;7;11;1468,86;77127862;79,1;84,3;91,31;87,26;87,62;2;51;40;27
47;2024-38;RH;65;54;5;6;1911,53;51272745;83,1;85,52;90,2;88,12;87,95;2;45;32;33
48;2024-38;Ventes;117;100;8;9;1762,66;114597152;85,5;82,87;90,05;86,51;86,48;4;30;28;22
49;2024-39;Finance;122;105;12;5;1542,77;104820067;86,1;84,95;90,89;88,04;87,96;1;54;40;34
50;2024-39;Marketing;97;83;8;6;1682,34;83979205;85,6;84,84;90,44;86,69;87,33;2;52;37;34
51;2024-39;RH;87;77;3;7;1880,07;73319896;88,5;84,56;90,82;88,97;88,12;1;45;37;28
52;2024-39;Ventes;100;84;4;12;1596,06;96570052;84,0;84,04;89,24;87,08;86,78;1;49;39;31
53;2024-40;Finance;120;98;11;11;1537,67;104667190;81,7;85,11;91,33;87,62;88,02;2;41;34;24
54;2024-40;Marketing;98;80;9;9;1488,78;93751362;81,6;83,84;90,16;87,0;87,0;4;46;37;33
55;2024-40;RH;82;67;11;4;1286,4;74245180;81,7;85,39;90,47;88,29;88,04;1;59;40;36
56;2024-40;Ventes;101;84;8;9;1655,05;92074181;83,2;83,78;89,35;87,24;86,79;7;47;36;30
57;2024-41;Finance;94;82;6;6;1900,22;97643692;87,2;85,66;91,04;88,76;88,49;1;39;32;27
58;2024-41;Marketing;94;83;2;9;1877,37;94790261;88,3;82,41;90,36;86,51;86,43;4;52;41;27
59;2024-41;RH;78;62;7;9;1592,14;73697973;79,5;84,1;90,21;88,33;87,55;1;43;37;30
60;2024-41;Ventes;91;78;8;5;1677,23;77636173;85,7;83,67;90,51;87,13;87,11;4;55;39;33
61;2024-42;Finance;108;97;0;11;1659,8;107277819;89,8;86,0;91,89;88,71;88,86;2;58;39;42
62;2024-42;Marketing;102;86;8;8;1638,9;101604112;84,3;83,54;91,06;87,13;87,24;0;38;28;29
63;2024-42;RH;81;65;9;7;1713,46;76723987;80,2;84,44;90,02;89,21;87,89;2;49;30;32
64;2024-42;Ventes;92;76;9;7;1747,17;84867775;82,6;84,57;89,66;87,08;87,11;1;40;30;27
65;2024-43;Finance;138;116;12;10;1597,55;132228826;84,1;86,11;91,22;88,58;88,63;3;54;38;37
66;2024-43;Marketing;90;73;8;9;1628,56;85130867;81,1;83,84;90,07;86,82;86,91;5;42;31;26
67;2024-43;RH;72;61;4;7;1672,67;71142244;84,7;85,34;89,79;87,67;87,6;1;39;32;28
68;2024-43;Ventes;109;87;6;16;1813,56;101489316;79,8;85,28;89,74;86,05;87,02;6;38;35;28
69;2024-44;Finance;96;77;13;6;1432,13;84473666;80,2;86,2;91,82;87,98;88,67;1;63;47;38
70;2024-44;Marketing;89;70;6;13;1708,35;75234823;78,7;83,38;90,34;87,26;86,99;3;42;32;28
71;2024-44;RH;73;67;2;4;1819,12;65222992;91,8;85,02;89,96;88,19;87,72;0;43;35;29
72;2024-44;Ventes;105;81;12;12;1573,41;89088439;77,1;83,47;89,78;87,62;86,95;3;46;30;32
73;2024-45;Finance;113;92;10;11;1841,57;104496008;81,4;86,07;91,09;87,07;88,08;5;47;35;33
74;2024-45;Marketing;89;73;6;10;1665,65;79961283;82,0;84,19;89,67;86,69;86,85;4;57;42;36
75;2024-45;RH;81;62;10;9;1404,53;66211336;76,5;85,02;90,13;87,8;87,65;1;52;38;33
76;2024-45;Ventes;88;70;6;12;1703,69;65848386;79,5;84,08;89,79;85,33;86,39;4;45;35;29
77;2024-46;Finance;114;88;10;16;1825,4;94686500;77,2;85,75;91,42;88,58;88,59;1;52;35;33
78;2024-46;Marketing;105;86;7;12;1737,6;105524252;81,9;84,02;90,18;87,4;87,2;6;57;41;32
79;2024-46;RH;82;65;10;7;1297,85;69888513;79,3;85,36;90,54;88,05;87,98;1;47;39;31
80;2024-46;Ventes;89;81;4;4;1753,02;82539248;91,0;82,76;90,41;87,43;86,86;1;46;34;29
81;2024-47;Finance;105;83;10;12;1678,23;102769225;79,0;85,13;90,71;88,25;88,03;1;50;41;33
82;2024-47;Marketing;100;83;5;12;1943,45;91042709;83,0;84,35;90,41;87,11;87,29;5;55;37;31
83;2024-47;RH;68;57;5;6;1546,61;56130307;83,8;85,19;90,6;88,6;88,13;1;48;35;37
84;2024-47;Ventes;98;83;8;7;1751,47;95868793;84,7;84,76;90,11;86,45;87,1;1;50;37;34
85;2024-48;Finance;124;103;7;14;1727,44;111424336;83,1;85,2;91,21;88,42;88,28;4;43;33;26
86;2024-48;Marketing;97;82;4;11;1543,67;85511469;84,5;84,49;89,4;86,83;86,9;1;42;33;27
87;2024-48;RH;83;66;10;7;1750,2;70089679;79,5;85,22;90,52;88,15;87,96;2;40;27;28
88;2024-48;Ventes;101;84;9;8;1487,38;92013793;83,2;85,32;89,79;86,42;87,18;1;44;36;31
89;2024-49;Finance;125;111;9;5;1603,84;116753523;88,8;86,07;90,61;88,38;88,36;2;60;43;32
90;2024-49;Marketing;98;85;4;9;1763,25;98028405;86,7;84,49;91,05;88,28;87,94;1;64;47;33
91;2024-49;RH;77;59;6;12;1634,73;62438854;76,6;84,68;90,68;88,72;88,04;1;44;32;29
92;2024-49;Ventes;96;77;8;11;1660,59;84577858;80,2;84,16;89,46;87,19;86,93;2;53;38;31
93;2024-50;Finance;125;106;7;12;1573,26;121678129;84,8;86,37;91,03;87,46;88,28;6;40;33;28
94;2024-50;Marketing;103;81;11;11;1621,85;96540721;78,6;83,62;90,37;86,43;86,8;2;46;37;32
95;2024-50;RH;88;71;8;9;1576,9;80079921;80,7;85,88;90,81;87,48;88,05;1;61;44;37
96;2024-50;Ventes;82;69;9;4;1679,71;77215011;84,1;84,41;89,19;86,1;86,57;6;40;31;26
97;2024-51;Finance;118;98;9;11;1617,91;110122872;83,1;85,88;91,07;88,59;88,51;4;48;35;33
98;2024-51;Marketing;97;73;11;13;1741,19;83036786;75,3;84,2;90,44;87,06;87,23;4;40;31;28
99;2024-51;RH;77;67;2;8;1822,15;71567689;87,0;85,13;90,32;87,8;87,75;3;51;36;34
100;2024-51;Ventes;80;62;8;10;1535,52;69992065;77,5;84,24;90,57;85,27;86,7;4;53;39;33
101;2024-52;Finance;121;105;7;9;1725,56;109565148;86,8;84,92;91,75;88,42;88,36;4;53;43;33
102;2024-52;Marketing;96;76;12;8;1604,34;75973161;79,2;83,63;90,52;87,35;87,17;3;59;38;38
103;2024-52;RH;80;60;7;13;1508,38;73262242;75,0;85,28;90,63;87,84;87,91;2;45;29;31
104;2024-52;Ventes;109;97;6;6;1704,59;105845780;89,0;85,23;89,27;86,55;87,01;2;53;35;31
105;2024-53;Finance;11;10;1;0;1892,5;8342976;90,9;85,63;91,01;89,88;88,83;1;6;6;5
106;2024-53;Marketing;9;7;0;2;1862,51;9446505;77,8;84,44;90,61;87,82;87,63;2;7;7;6
107;2024-53;RH;12;10;2;0;1447,98;9587414;83,3;84,97;89,9;88,35;87,73;0;9;9;8
108;2024-53;Ventes;11;8;1;2;1745,15;9140646;72,7;83,75;91,0;85,47;86,75;1;11;10;11
